#gene ID	JGI gene ID					
#polyA	Indicate if gene has polyA tail					
#ortholog_name	gene name of D. discoideum ortholog					
#annotation	gene annotation of D. discoideum ortholog					
#go_terms	"GO terms associated with gene. Biological process, Molecular Function and Cellular Component ontologies are separated by || and each term within the ontology is separated by comma."					
#domains	Protein domain identified in gene. Separated by comma.					
#percent_mapability	The percent of mapable transcript nucleotides 					
#						
gene ID	polyA	ortholog_name	annotation	go_terms	domains	percent_mapability
149555	Y	DDB_G0292128		structural constituent of ribosome | ubiquitin-protein ligase activity | intracellular | ribosome | protein biosynthesis | ubiquitin cycle	"sp_RS1A_DICDI_P46793;, Ribosomal_S8, zf-UBR1, ZnF_UBR1"	32.4714
149557	Y	GID1.0040246			"OTU, OTU"	2.89432
149558	Y	GID1.0040247			FNIP	3.82995
149561	Y	DDB_G0292132	multi antimicrobial extrusion (MatE) family protein	multidrug transport | drug transporter activity | antiporter activity | membrane	"MatE, matE"	5.70023
149562	Y	DDB_G0291936				34.1313
149571	Y	GID1.0040260				14.2513
149573	Y	DDB_G0283977	Probable short-chain dehydrogenase.			34.0109
149579	Y	GID1.0040268			"CH, CH, CH"	35.3698
149584	Y	GID1.0040273				31.0562
149585	Y	GID1.0040274			"EGF_1, EGF_2"	28.9959
149595	Y	DDB_G0283745	"armadillo-like helical domain-containing protein, transportin 3-like protein"			34.761
149596	Y	GID1.0040285			"OTU, OTU"	16.9729
149601	Y	GID1.0040290				25.391
149602	Y	GID1.0040291				25.1971
149604	Y	rpb1	"RNA polymerase II core subunit, RNA polymerase II largest subunit"	"DNA binding | DNA-directed RNA polymerase activity | DNA-directed RNA polymerase I activity | DNA-directed RNA polymerase II activity | DNA-directed RNA polymerase III activity | nucleus | DNA-directed RNA polymerase II, core complex | transcription | transcription from RNA polymerase II promoter"	"PRICHEXTENSN, RNA_pol_Rpb1_2, RNA_pol_Rpb1_3, RNA_pol_Rpb1_7, RNA_pol_Rpb1_6, RNA_pol_Rpb1_1, RNA_pol_Rpb1_5, RNA_pol_Rpb1_4, RNA_pol_Rpb1_R, RPOLA_N, RNA_POL_II_REPEAT"	35.0163
149605	Y	DDB_G0279221				35.8529
149610	Y	GID1.0040299				32.9635
149613	Y	DDB_G0268136				23.6431
149614	Y	DDB_G0269892		electron transport	FAD_binding_4	35.9485
149615	Y	DDB_G0269890	RH19667p.	molecular function unknown	"YjeF_N, yjeF_nterm"	35.9123
149619	Y	GID1.0040308		"superoxide dismutase activity | copper, zinc superoxide dismutase activity | superoxide metabolism | iron superoxide dismutase activity | manganese superoxide dismutase activity | nickel superoxide dismutase activity | metal ion binding"	"sp_O81352_BRARP_O81352;, Sod_Cu"	19.7994
149620	Y	sodC	superoxide dismutase	"copper, zinc superoxide dismutase activity | superoxide metabolism | metal ion binding"	"sp_SOD1_ORYSA_P28756;, Sod_Cu"	35.222
149623	Y	GID1.0040312				33.021
149628	Y	GID1.0040317		catalytic activity	ESTERASE	34.472
149635	Y	thyA	thymidylate synthase (FAD)	thymidylate synthase (FAD) activity	Thy1	35.96
149640	Y	DDB_G0280253	"RabGAP/TBC domain-containing protein, putative GTPase activating protein (GAP)"	ubiquitin-protein ligase activity	"TBC, TBC_RABGAP"	30.353
149642	Y	GID1.0040331				24.5255
149647	Y	DDB_G0280551				35.9157
149652	Y	GID1.0040341				21.6404
149655	Y	GID1.0040344				19.4273
149669	Y	GID1.0040358				8.45415
149674	Y	DDB_G0267510				30.4458
149681	Y	DDB_G0269466			"BSD, BSD"	32.8596
149685	Y	GID1.0040374			"SAM, SAM_DOMAIN"	35.9517
149687	Y	DDB_G0269498		ubiquitin ligase complex | ubiquitin-protein ligase activity | zinc ion binding | protein ubiquitination	"ZF_RING_2, ZF_RING_1"	27.2381
149688	Y	nle1	"NLE domain-containing protein, WD40 repeat-containing protein, putative notchless"	1-alkyl-2-acetylglycerophosphocholine esterase activity | signal transducer activity | heterotrimeric G-protein complex | G-protein coupled receptor protein signaling pathway	"sp_Q9AYI7_ORYSA_Q9AYI7;, GPROTEINB, GPROTEINBRPT, WD40, WD40, WD_REPEATS_2, WD_REPEATS_REGION, WD_REPEATS_1"	35.1626
149694	Y	GID1.0040383				35.6596
149698	Y	DDB_G0294617	unknown			35.585
149700	Y	vps41	"7-fold repeat in clathrin and VPS proteins repeat-containing protein, RING zinc finger-containing protein, WD40 repeat-containing protein"	ubiquitin ligase complex | ubiquitin-protein ligase activity | zinc ion binding | protein ubiquitination	"WD40, Clathrin, RING, CLH, CLATHRIN_REPEAT"	35.3675
149702	Y	DDB_G0286651	saposin B domain-containing protein	lysosome | lipid metabolism | sphingolipid metabolism	"sp_Q8UVZ4_BRARE_Q8UVZ4;, SAPOSIN, SapB_2, SapB_1, SAPB, SAP_B"	13.0038
149704	Y	patA	"Ca2+-ATPase, P-type ATPase"	"catalytic activity | calcium-transporting ATPase activity | calcium ion binding | ATP binding | cation transport | calcium ion transport | metabolism | calcium ion transporter activity | ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism | proton transport | membrane | hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances"	"CATATPASE, HATPASE, E1-E2_ATPase, Cation_ATPase_C, Cation_ATPase_N, Hydrolase, ATPase-IIB_Ca, ATPASE_E1_E2"	35.8926
149705	Y	nol9	NUC156 family protein	phospholipid-translocating ATPase activity		32.0898
149711	Y	DDB_G0270100		phospholipid-translocating ATPase activity		34.7364
149716	Y	DDB_G0278999			GST_C	35.8555
149720	Y	armc8	armadillo repeat-containing protein		"Arm, ARM, ARM_REPEAT"	35.5357
149721	Y	DDB_G0277473	triacylglycerol lipase-like protein triacylglycerol lipase	"catalytic activity | phospholipase activity | triacylglycerol lipase activity | lipid metabolism | lipase activity | carboxylic ester hydrolase activity | 1-oxa-2-oxocycloheptane lactonase activity | sulfolactone hydrolase activity | 3,4-dihydrocoumarin hydrolase activity | butyrolactone hydrolase activity"	"Lipase_3, LIPASE_SER"	35.9593
149722	Y	zizD	"DOCK family protein, putative guanine nucleotide exchange factor (GEF)"	guanyl-nucleotide exchange factor activity | GTP binding | GTPase binding	Ded_cyto	35.6217
149723	Y	DDB_G0291139				35.3416
149724	Y	DDB_G0268890		lysosome | lipid metabolism | sphingolipid metabolism	"SAPOSIN, SapB_2, SapB_1, SAPB, SAP_B"	34.1099
149727	Y	rngB	"Kelch repeat-containing protein, RING zinc finger-containing protein"	ubiquitin ligase complex | phospholipase D activity | ubiquitin-protein ligase activity | zinc ion binding | protein ubiquitination	"zf-C3HC4, Kelch_1, Kelch_2, Kelch, ZF_RING_2"	34.5892
149728	Y	DDB_G0268862				35.9038
149730	Y	nat10	putative N-acetyltransferase	ubiquitin ligase complex | ubiquitin-protein ligase activity | zinc ion binding | protein ubiquitination	"DUF699, RING, ZF_RING_2, BPD_TRANSP_INN_MEMBR"	35.7341
149732	Y	sdad1	SDA1 domain-containing protein		SDA1	33.5129
149733	Y	DDB_G0270916				34.1375
149737	Y	GID1.0040426				31.4238
149740	Y	GID1.0040429				0.585847
149741	Y	GID1.0040430		ubiquitin ligase complex | ubiquitin-protein ligase activity | zinc ion binding | protein ubiquitination	"zf-C3HC4, RING, ZF_RING_2, ZF_RING_1"	8.06315
149744	Y	GID1.0040433				33.6557
149746	Y	DDB_G0270610				34.6226
149748	Y	DDB_G0270912				33.4244
149749	Y	DDB_G0270910	eukaryotic translation initiation factor 4E (eIF-4E) family protein	RNA binding | translation initiation factor activity | cytoplasm | translational initiation	"sp_Q9P975_CANAL_Q9P975;, IF4E"	33.7217
149753	Y	GID1.0040442		ubiquitin ligase complex | ubiquitin-protein ligase activity | zinc ion binding | protein ubiquitination	"zf-C3HC4, RING, ZF_RING_2, ZF_RING_1"	7.31341
149757	Y	GID1.0040446				35.8511
149760	Y	GID1.0040449		cysteine-type endopeptidase activity | proteolysis and peptidolysis | cysteine-type peptidase activity | cathepsin F activity	"sp_Q40993_PEA_Q40993;, Peptidase_C1, Pept_C1, EGF_1, THIOL_PROTEASE_CYS"	35.4325
149765	Y	GID1.0040454				21.1719
149766	Y	GID1.0040455				33.7188
149767	Y	gefV	"RasGEF domain-containing protein, leucine-rich repeat-containing protein (LRR)"	guanyl-nucleotide exchange factor activity | intracellular signaling cascade | small GTPase mediated signal transduction	"LEURICHRPT, LRR, RasGEF, RasGEF_N, RasGEF, LRR_BAC, LRR_PS, LRR_TYP, RASGEF_CAT, RASGEF_NTER, LRR_TYPICAL, RASGEF"	35.7168
149769	Y	cog4	oligomeric Golgi complex component			35.6307
149772	Y	DDB_G0268404	DENN domain-containing protein		"DENN, uDENN, DENN_DOMAIN"	34.6696
149785	Y	DDB_G0291836		nucleic acid binding | intracellular | RNA processing	"RRM_1, RRM, HAT, RRM, RRM_RNP_1"	33.145
149786	Y	DDB_G0291820		RNA binding | translation initiation factor activity | cytoplasm | translational initiation | sucrose-phosphate synthase activity	"sp_Q9P975_CANAL_Q9P975;, IF4E"	35.167
149793	Y	GID1.0040482				34.4746
149794	Y	DDB_G0277033	"SWIRM domain-containing protein, myb domain-containing protein"	DNA binding | intracellular | nucleus | metabolism | acetyltransferase activity	"sp_Q8T2F6_DICDI_Q8T2F6;, Myb_DNA-binding, SWIRM, SANT, MYB_3, BRCT"	31.5227
149795	Y	DDB_G0276993		arylamine N-acetyltransferase activity | metabolism | acetyltransferase activity	"sp_Q8T2F6_DICDI_Q8T2F6;, Acetyltransf_2"	33.1591
149800	Y	GID1.0040489				35.7387
149802	Y	syn16A	"putative syntaxin 16, t-SNARE family protein"	membrane	"Syntaxin, SNARE, t_SNARE, T_SNARE"	35.6144
149807	Y	GID1.0040496			HLH_1	18.4161
149813	Y	myoC	"class I myosin, myosin IC"	motor activity | ATP binding | myosin ATPase activity | myosin	"sp_MYSC_DICDI_P42522;, sp_MYSC_DICDI_P42522;, MYOSINHEAVY, SH3DOMAIN, SH3_1, Myosin_head, Myosin_tail_2, SH3_2, MYSc, SH3, SH3"	35.2611
149815	Y	hmgB	"hmg CoA reductase B, hydroxymethylglutaryl CoA reductase"	hydroxymethylglutaryl-CoA reductase (NADPH) activity | lipid metabolism | biosynthesis | integral to membrane	"HMGCOARDTASE, HMG-CoA_red, HMG_CoA_R_NADP, HMG_COA_REDUCTASE_4, HMG_COA_REDUCTASE_1, HMG_COA_REDUCTASE_2, HMG_COA_REDUCTASE_3"	35.9177
149816	Y	DDB_G0276625				35.8511
149817	Y	GID1.0040506		"two-component signal transduction system (phosphorelay) | nucleotide binding | DNA binding | ubiquitin-protein ligase activity | regulation of transcription, DNA-dependent | oxidoreductase activity | nucleoside-triphosphatase activity"	"AAA, ALDOKETO_REDUCTASE_2, SIGMA54_INTERACT_1"	14.5452
149823	Y	GID1.0040512				21.9205
149824	Y	DDB_G0268504	Similar to Mus musculus (Mouse). sex-determining region Y protein (Testis-determining factor).	"two-component signal transduction system (phosphorelay) | nucleotide binding | DNA binding | ubiquitin-protein ligase activity | regulation of transcription, DNA-dependent | oxidoreductase activity | nucleoside-triphosphatase activity"	"AAA, ALDOKETO_REDUCTASE_2, SIGMA54_INTERACT_1"	14.6306
149833	Y	GID1.0040522			EGF_1	7.22093
149834	Y	GID1.0040523				6.78008
149835	Y	GID1.0040524				19.5943
149841	Y	GID1.0040530				28.9934
149843	Y	DDB_G0277515	Putative purine permease ycdG (Similar to Agrobacterium tumefaciens (Strain C58/ATCC 33970) uracil transport protein).	transporter activity | transport | membrane	"Xan_ur_permease, ncs2"	35.9767
149844	Y	DDB_G0288763				32.3174
149859	Y	GID1.0040548				16.7937
149867	Y	DDB_G0286701	Putative initiator tRNA phosphoribosyl-transferase.	"regulation of translation | transferase activity, transferring pentosyl groups"	Init_tRNA_PT	34.841
149871	Y	GID1.0040560				18.2683
149879	Y	DDB_G0280797		"ATP-dependent DNA helicase activity | ATP-dependent RNA helicase activity | ATP-dependent helicase activity | DNA-dependent ATPase activity | RNA-dependent ATPase activity | protein-transporting ATPase activity | DNA translocase activity | ATPase activity | single-stranded DNA-dependent ATP-dependent DNA helicase activity | ATPase activity, coupled | ATPase activity, uncoupled | ATPase activity, coupled to transmembrane movement of ions | ATPase activity, coupled to transmembrane movement of substances"		35.7609
149884	Y	GID1.0040573		electron transport	FAD_binding_4	34.9341
149887	Y	DDB_G0275821		DNA-directed DNA polymerase activity | alpha DNA polymerase activity | beta DNA polymerase activity | delta DNA polymerase activity | epsilon DNA polymerase activity | zeta DNA polymerase activity | gamma DNA-directed DNA polymerase activity | eta DNA polymerase activity | iota DNA polymerase activity | mu DNA polymerase activity | lambda DNA polymerase activity | kappa DNA polymerase activity | nu DNA polymerase activity | theta DNA polymerase activity | sigma DNA polymerase activity		31.974
149888	Y	GID1.0040577				35.8533
149889	Y	DDB_G0275823	Similar to Dictyostelium discoideum (Slime mold). hybrid histidine kinase DHKB.		PPR	34.8099
149892	Y	pikC	"PI3kinase, phosphatidylinositol-4, 5-diphosphate 3-kinase"	"inositol or phosphatidylinositol kinase activity | phosphoinositide 3-kinase complex | phosphatidylinositol 3-kinase activity | phosphotransferase activity, alcohol group as acceptor | phosphatidylinositol-4,5-bisphosphate 3-kinase activity"	"PI3_PI4_kinase, PI3Ka, PI3K_C2, PI3K_C2, PI3K_rbd, PI3Ka, PI3Kc, PI3_4_KINASE_3, PI3_4_KINASE_1, PI3_4_KINASE_2"	34.3387
149898	Y	gacFF	"F-box-containing protein, RhoGAP domain-containing protein, pleckstrin homology (PH) domain-containing protein"		"PH, RhoGAP, F-box, PH, FBOX, RhoGAP, PH_DOMAIN, FBOX, RHOGAP"	34.312
149899	Y	GID1.0040588		protein folding | heat shock protein binding | unfolded protein binding	"DnaJ, DnaJ, DNAJ_2"	35.8367
149902	Y	GID1.0040591			"OTU, OTU"	8.76719
149903	Y	GID1.0040592				30.7059
149905	Y	DDB_G0269484		regulation of cell cycle	Fic	35.7773
149906	Y	xpo4	exportin 4			35.9389
149912	Y	GID1.0040601				32.8729
149913	Y	GID1.0040602				15.3238
149914	Y	GID1.0040603			FNIP	33.0364
149915	Y	GID1.0040604		protein modification	UBIQUITIN_2	31.9375
149923	Y	DDB_G0290403	unknown			34.6673
149926	Y	DDB_G0290021				34.6255
149927	Y	GID1.0040616				30.9632
149928	Y	GID1.0040617				33.0491
149932	Y	GID1.0040621		ubiquitin ligase complex | ubiquitin-protein ligase activity | zinc ion binding | protein ubiquitination	ZF_RING_2	35.7348
149933	Y	DDB_G0283055	"RabGAP/TBC domain-containing protein, TBC1 domain family protein"		"TBC, TBC, TBC_RABGAP"	35.7593
149934	Y	DDB_G0282939				35.7973
149939	Y	GID1.0040628				34.7937
149944	Y	DDB_G0283275		structural constituent of ribosome | intracellular | ribosome | protein biosynthesis	Ribosomal_L4	35.0064
149945	Y	DDB_G0283269	putative asparaginase 2	asparaginase activity | threonine endopeptidase activity | glycoprotein catabolism	Asparaginase_2	32.6456
149947	Y	mcfO	"EF-hand domain-containing protein, mitochondrial substrate carrier family protein, putative calcium-binding mitochondrial carrier protein"	transporter activity | binding | calcium ion binding | mitochondrial inner membrane | transport | membrane	"sp_Q9SZ45_ARATH_Q9SZ45;, MITOCARRIER, ADPTRNSLCASE, efhand, Mito_carr, EFh, EF_HAND_2, EF_HAND, MITOCH_CARRIER"	35.9235
149951	Y	GID1.0040640				30.5951
149955	Y	GID1.0040644			"EGF_1, EGF_2"	2.70539
149956	Y	GID1.0040645			"EGF_1, EGF_2"	4.60485
149957	Y	GID1.0040646			"EGF_1, EGF_2"	2.66166
149958	Y	GID1.0040647				5.32955
149960	Y	kif8		microtubule motor activity | ATP binding | microtubule associated complex | microtubule-based movement	"GPROTEINBRPT, KINESINHEAVY, Kinesin, WD40, KISc, WD40, KINESIN_MOTOR_DOMAIN2, WD_REPEATS_2, WD_REPEATS_REGION, KINESIN_MOTOR_DOMAIN1, WD_REPEATS_1"	35.6233
149964	Y	GID1.0040653				27.447
149974	Y	GID1.0040663				29.8027
149976	Y	GID1.0040665			FNIP	27.7785
149982	Y	GID1.0040671				9.95477
149983	Y	GID1.0040672				12.2053
149984	Y	GID1.0040673				10.1528
149987	Y	GID1.0040676				15.9724
149992	Y	DDB_G0282573			"GPROTEINBRPT, WD40, WD40, WD_REPEATS_2, WD_REPEATS_REGION, WD_REPEATS_1"	31.0732
149995	Y	DDB_G0282087			Pinin_SDK_memA	26.8318
149996	Y	GID1.0040685		chitinase activity | metabolism | endochitinase activity | hydrolase activity	"Glyco_hydro_18, Glyco_18"	35.8999
149999	Y	GID1.0040688		metabolism | oxidoreductase activity | regulation of oxidoreductase activity	"SDRFAMILY, GDHRDH, adh_short"	28.1247
150000	Y	GID1.0040689		metabolism | oxidoreductase activity | regulation of oxidoreductase activity	"SDRFAMILY, GDHRDH, adh_short, ADH_SHORT"	33.6562
150002	Y	DDB_G0279717	"carboxylesterase,  type B family protein"	catalytic activity | cholinesterase activity	"COesterase, ESTERASE, CARBOXYLESTERASE_B_1, CARBOXYLESTERASE_B_2"	35.9628
150014	Y	DDB_G0279693		"protein-nucleus import, docking | nucleus | nuclear pore | cytoplasm | carbohydrate metabolism | protein transporter activity"	"IBN_N, IMPORTIN_B_NT, FGGY_KINASES_2"	35.8349
150022	Y	GID1.0040711			FNIP	11.3666
150024	Y	DDB_G0268742	Chrysanthemyl diphosphate synthase.	isoprenoid biosynthesis	"polyprenyl_synt, POLYPRENYL_SYNTHET_1"	34.8449
150025	Y	DDB_G0292334		ATP binding	ATP_GTP_A2	29.0051
150026	Y	DDB_G0295679	"helicase superfamily 1 and 2 domain-containing protein, type III restriction enzyme,  res subunit family protein"	type I site-specific deoxyribonuclease activity		31.4056
150027	Y	mybH	"SWIRM domain-containing protein, myb domain-containing protein"	DNA binding | ubiquitin-protein ligase activity | nucleus	"Myb_DNA-binding, Mov34, SWIRM, JAB_MPN, SANT, myb_SHAQKYF, MYB_3, MPN_DOMAIN"	26.1247
150028	Y	DDB_G0278169				31.3763
150029	Y	DDB_G0278171			PRICHEXTENSN	34.3908
150037	Y	DDB_G0277899	RNA-binding region RNP-1 domain-containing protein	nucleic acid binding	RRM	34.1469
150038	Y	DDB_G0278627		ubiquitin-protein ligase activity		34.0731
150040	Y	DDB_G0278163	TM2 domain-containing protein		TM2	32.0244
150045	Y	dhkB	"HisK family protein kinase, histidine kinase, protein kinase,  Atypical group"	"two-component sensor molecule activity | two-component response regulator activity | two-component signal transduction system (phosphorelay) | DNA binding | protein-histidine kinase activity | signal transducer activity | ATP binding | regulation of transcription, DNA-dependent | protein amino acid phosphorylation | signal transduction | membrane | kinase activity | phosphorylation | transferase activity, transferring phosphorus-containing groups | phosphotransferase activity, nitrogenous group as acceptor | histone-arginine kinase activity"	"sp_O15763_DICDI_O15763;, BCTRLSENSOR, Response_reg, HisKA, HATPase_c, HATPase_c, HisKA, REC, sensory_box, HIS_KIN, RESPONSE_REGULATORY"	33.3825
150046	Y	DDB_G0278239		metal ion binding	"sp_ZDH3_MOUSE_Q8R173;, zf-DHHC, ZF_DHHC"	28.2669
150047	Y	clcD	"CLC 6/7 family protein, chloride channel protein"	voltage-gated chloride channel activity | chloride transport | membrane	"CLCHANNEL, CBS, Voltage_CLC, CBS, SNF4_REP"	35.2877
150050	Y	DDB_G0278015	ENSANGP00000004413.			34.4755
150054	Y	DDB_G0278021				34.0135
150055	Y	mrpl33	"ribosomal protein L33,  mitochondrial"	structural constituent of ribosome | intracellular | ribosome | protein biosynthesis	"sp_RL33_RHILO_Q98LW4;, Ribosomal_L33, rpmG_bact"	35.2192
150060	Y	rabif	"Mss4-like family protein, Rab guanyl-nucleotide exchange factor"	guanyl-nucleotide exchange factor activity | small GTPase mediated signal transduction	Mss4	35.6467
150062	Y	DDB_G0277973				31.0015
